match,game_date,question,question_type,target_player,target_team,line,lineup_status,lineup_role,has_lineup_context,is_starter,is_not_starting,is_out_of_squad,expected_minutes_if_known,favorite_team,underdog_team,target_team_win_prob,target_team_is_favorite,target_team_is_underdog,team_implied_goals_if_available,match_total_over_2_5_prob,btts_prob,has_direct_market,direct_market_prob_if_available,p_field_est,p_field_source,risk_tags,submitted_percent,crowd_percent,result,actual_rbp
Haiti vs Scotland,2026-06-13,Will Scott McTominay have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,64,No,
Australia vs Turkey,2026-06-14,Will Orkun Kökçü have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,41,No,
Germany vs Curaçao,2026-06-14,Will Leandro Bacuna have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,32,No,
Netherlands vs Japan,2026-06-14,Will Cody Gakpo have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,61,Yes,
Netherlands vs Japan,2026-06-14,Will Takefusa Kubo score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,36,Yes,
Ivory Coast vs Ecuador,2026-06-14,Will Ibrahim Sangaré have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,33,No,
Sweden vs Tunisia,2026-06-14,Will Viktor Gyökeres score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,50,Yes,
Sweden vs Tunisia,2026-06-14,Will Ellyes Skhiri have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,31,No,
Spain vs Cape Verde,2026-06-15,Will Dani Olmo score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,44,No,
Spain vs Cape Verde,2026-06-15,Will Ryan Mendes have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,36,No,
Belgium vs Egypt,2026-06-15,Will Youri Tielemans have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,44,No,
Belgium vs Egypt,2026-06-15,Will Mahmoud Trezeguet score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,26,No,
Saudi Arabia vs Uruguay,2026-06-15,Will Salem Al-Dawsari score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,27,No,
Saudi Arabia vs Uruguay,2026-06-15,Will Darwin Núñez score a goal (excluding own goals)?,player_goal,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.29333333333333333,blend_anchor_generic+historical_n5,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,41,No,
Iran vs New Zealand,2026-06-15,Will Mehdi Taremi have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,50,No,
Iran vs New Zealand,2026-06-15,Will Ben Waine score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,22,No,
France vs Senegal,2026-06-16,Will Sadio Mané score a goal (excluding own goals)?,player_goal,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.29333333333333333,blend_anchor_generic+historical_n5,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,30,No,
Iraq vs Norway,2026-06-16,Will Mohanad Ali score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,22,No,
Argentina vs Algeria,2026-06-16,Will Riyad Mahrez have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,42,No,
Austria vs Jordan,2026-06-17,Will Marcel Sabitzer have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,57,No,
Austria vs Jordan,2026-06-17,Will Mousa Al-Taamari have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,42,Yes,
Portugal vs DR Congo,2026-06-17,Will Gonçalo Ramos score a goal (excluding own goals)?,player_goal,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.29333333333333333,blend_anchor_generic+historical_n5,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,31,No,
Portugal vs DR Congo,2026-06-17,Will Cédric Bakambu have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,43,No,
England vs Croatia,2026-06-17,Will Harry Kane have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,59,Yes,
England vs Croatia,2026-06-17,Will Luka Sučić have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,34,No,
Ghana vs Panama,2026-06-17,Will Antoine Semenyo have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,56,Yes,
Ghana vs Panama,2026-06-17,Will José Fajardo have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,39,No,
Uzbekistan vs Colombia,2026-06-17,Will Luis Díaz have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,55,Yes,
Uzbekistan vs Colombia,2026-06-17,Will Eldor Shomurodov score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,28,No,
Czechia vs South Africa,2026-06-18,Will Patrik Schick have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,61,Yes,
Czechia vs South Africa,2026-06-18,Will Oswin Appollis score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,27,No,
Switzerland vs Bosnia and Herzegovina,2026-06-18,Will Granit Xhaka have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,34,Yes,
Switzerland vs Bosnia and Herzegovina,2026-06-18,Will Edin Džeko have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,45,No,
Canada vs Qatar,2026-06-18,Will Jonathan David have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,50,Yes,
Canada vs Qatar,2026-06-18,Will Akram Afif have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,42,No,
Mexico vs South Korea,2026-06-18,Will Son Heung-min score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,42,No,
United States vs Australia,2026-06-19,Will Folarin Balogun have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,65,No,
Scotland vs Morocco,2026-06-19,Will Scott McTominay have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,48,No,
Brazil vs Haiti,2026-06-19,Will Haiti have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,54,Yes,
Brazil vs Haiti,2026-06-19,Will Duckens Nazon have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,30,No,
Turkey vs Paraguay,2026-06-19,Will Orkun Kökçü have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,41,No,
Turkey vs Paraguay,2026-06-19,Will Julio Enciso have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,48,No,
Netherlands vs Sweden,2026-06-20,Will Viktor Gyökeres have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,50,No,
Netherlands vs Sweden,2026-06-20,Will Cody Gakpo have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,61,Yes,
Ecuador vs Curaçao,2026-06-20,Will Leandro Bacuna have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,35,Yes,
Belgium vs Iran,2026-06-21,Will Tielemans have 1 or more shots on target?,player_sot_over,Tielemans,Belgium,0.5,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,27.0,43,Yes,-18.18
Belgium vs Iran,2026-06-21,"Will Taremi score or assist a goal, excluding own goals?",player_goal_or_assist,Taremi,Iran,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,22.0,31,No,6.59
Uruguay vs Cape Verde,2026-06-21,"Will Darwin Núñez score or assist a goal, excluding own goals?",player_goal_or_assist,Darwin Núñez,Uruguay,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,40.0,38,No,2.09
