row_id,source_batch,status,game_date,match_raw,match_norm,question_number,question,question_type,field_prob,result,outcome_pct,submitted,submitted_percent,actual_rbp,if_yes_rbp,if_no_rbp,swing_display,notes,target_team,target_player,line
12,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q2,Will South Korea be caught offside 2 or more times?,team_offsides_over,52,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
13,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q3,Will there be 2 or more total cards shown in the second half?,total_cards_over,58,No,0.0,0,,,,,,The Crowd played it safe.,,,
14,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,38,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
15,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q5,Will a penalty kick be awarded in the match?,penalty_awarded,33,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
16,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q6,Will South Korea have more shots on target than Czechia in the second half?,team_more_sot_2h,55,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
17,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q7,Will South Korea win the match?,team_win,50,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
18,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q8,Will South Korea score in the second half?,team_score_2h,55,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
19,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q9,Will Son Heung-min score a goal (excluding own goals)?,player_goal,40,No,0.0,0,,,,,,The Crowd played it safe.,,,
20,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q10,Will Patrik Schick have at least 1 shot on target?,player_sot_over,67,No,0.0,0,,,,,,The Crowd missed the mark.,,,
21,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q1,Will Bosnia and Herzegovina commit more fouls than Canada?,team_more_fouls,64,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
22,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q2,Will there be 4 or more total shots on target in the second half?,second_half_total_sot_over,59,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
23,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q3,Will a penalty kick be awarded OR a red card be shown?,penalty_or_red_card,41,No,0.0,0,,,,,,The Crowd played it safe.,,,
24,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q4,Will Canada win the match?,team_win,61,No,0.0,0,,,,,,The Crowd played it safe.,,,
25,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q5,"At halftime, will the match be tied?",halftime_draw,47,No,0.0,0,,,,,,The Crowd played it safe.,,,
26,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q6,Will the second half have 2 or more total goals?,second_half_goals_over,38,No,0.0,0,,,,,,The Crowd played it safe.,,,
27,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q7,Will Bosnia and Herzegovina have 5 or more corner kicks?,team_corners_over,36,No,0.0,0,,,,,,The Crowd played it safe.,,,
28,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q8,Will Jonathan David score a goal (excluding own goals)?,player_goal,38,No,0.0,0,,,,,,The Crowd played it safe.,,,
29,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q9,Will Edin Džeko have at least 1 shot on target?,player_sot_over,58,No,0.0,0,,,,,,The Crowd played it safe.,,,
30,raw_paste_collected_in_chat,resolved,2026-06-12,Canada vs Bosnia-Herzegovina,Canada vs Bosnia and Herzegovina,Q10,Will Bosnia and Herzegovina score in the second half?,team_score_2h,44,No,0.0,0,,,,,,The Crowd played it safe.,,,
31,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q1,Will United States be caught offside 2 or more times?,team_offsides_over,56,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
32,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q2,Will United States score the first goal of the game and Paraguay score in the second half?,compound_first_goal_score_2h,31,Yes,100.0,0,,,,,,The Crowd missed the mark.,,,
33,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q3,Will Paraguay finish with more corner kicks than United States?,team_more_corners_full,35,No,0.0,0,,,,,,The Crowd played it safe.,,,
34,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q4,Will United States win the match?,team_win,60,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
35,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q5,"At halftime, will the match be tied?",halftime_draw,45,No,0.0,0,,,,,,The Crowd played it safe.,,,
36,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q6,Will the match have 3 or more total goals?,match_total_over,42,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
37,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q7,Will Paraguay score in the second half?,team_score_2h,44,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
38,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q8,Will there be 4 or more total cards shown?,total_cards_over,49,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
39,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q9,Will Folarin Balogun have at least 1 shot on target?,player_sot_over,63,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
40,raw_paste_collected_in_chat,resolved,2026-06-12,United States vs Paraguay,United States vs Paraguay,Q10,Will Julio Enciso have at least 1 shot on target in the second half?,player_sot_2h_over,37,No,0.0,0,,,,,,The Crowd played it safe.,,,
41,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q1,"At halftime, will both teams have at least 1 shot on target?",both_teams_sot_h1_1plus,59,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
42,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q2,Will Switzerland be caught offside 2 or more times?,team_offsides_over,53,No,0.0,0,,,,,,The Crowd played it safe.,,,
43,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q3,Will Switzerland receive at least 1 card in the second half?,team_card_2h,57,No,0.0,0,,,,,,The Crowd played it safe.,,,
44,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,30,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
45,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q5,Will Qatar have 2 or more shots on target in the second half?,team_sot_2h_over,39,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
46,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q6,Will Qatar commit more fouls than Switzerland?,team_more_fouls,64,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
47,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q7,Will Qatar score at least 1 goal?,team_score_any,40,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
48,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q8,Will Qatar have 2 or more shots on target?,team_sot_over,57,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
49,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q9,Will Akram Afif have at least 1 shot on target?,player_sot_over,46,No,0.0,0,,,,,,The Crowd played it safe.,,,
50,raw_paste_collected_in_chat,resolved,2026-06-13,Qatar vs Switzerland,Qatar vs Switzerland,Q10,Will Granit Xhaka have at least 1 shot on target?,player_sot_over,48,No,0.0,0,,,,,,The Crowd played it safe.,,,
51,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q1,Will Brazil be caught offside 2 or more times?,team_offsides_over,59,No,0.0,0,,,,,,The Crowd played it safe.,,,
52,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q2,Will Morocco commit more fouls than Brazil?,team_more_fouls,61,No,0.0,0,,,,,,The Crowd played it safe.,,,
53,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q3,Will Morocco score the first goal of the second half?,team_score_first_2h,32,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
54,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q4,Will Brazil score more goals than Morocco in the second half?,team_more_goals_2h,55,No,0.0,0,,,,,,The Crowd played it safe.,,,
55,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q5,Will Morocco have more shots on target than Brazil in the second half?,team_more_sot_2h,33,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
56,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q6,Will Brazil receive more cards than Morocco?,team_more_cards,39,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
57,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q7,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,47,No,0.0,0,,,,,,The Crowd played it safe.,,,
58,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q8,Will Brazil win the match?,team_win,66,No,0.0,0,,,,,,The Crowd missed the mark.,,,
59,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q9,Will Morocco have 5 or more corner kicks?,team_corners_over,38,No,0.0,0,,,,,,The Crowd played it safe.,,,
60,raw_paste_collected_in_chat,resolved,2026-06-13,Brazil vs Morocco,Brazil vs Morocco,Q10,Will the match be tied at halftime?,halftime_draw,42,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
61,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q1,Will Haiti commit more fouls than Scotland?,team_more_fouls,62,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
62,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q2,"In the second half, will Haiti have more corner kicks than Scotland?",team_more_corners_2h,30,Yes,100.0,0,,,,,,The Crowd missed the mark.,,,
63,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q3,Will Haiti have more shots on target than Scotland in the second half?,team_more_sot_2h,27,Yes,100.0,0,,,,,,The Crowd missed the mark.,,,
64,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q4,Will a penalty kick be awarded OR a red card be shown?,penalty_or_red_card,42,No,0.0,0,,,,,,The Crowd played it safe.,,,
65,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q5,Will Haiti score at least 1 goal?,team_score_any,45,No,0.0,0,,,,,,The Crowd played it safe.,,,
66,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q6,Will the match be tied at halftime?,halftime_draw,39,No,0.0,0,,,,,,The Crowd played it safe.,,,
67,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q7,Will the match have 2 or fewer total goals?,match_total_under,46,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
68,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q8,Will the second half have 2 or more total goals?,second_half_goals_over,42,No,0.0,0,,,,,,The Crowd played it safe.,,,
69,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q9,Will Duckens Nazon have at least 1 shot on target?,player_sot_over,45,No,0.0,0,,,,,,The Crowd played it safe.,,,
70,raw_paste_collected_in_chat,resolved,2026-06-13,Haiti vs Scotland,Haiti vs Scotland,Q10,Will Scott McTominay have at least 1 shot on target?,player_sot_over,64,No,0.0,0,,,,,,The Crowd played it safe.,,,
71,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q1,Will Australia commit more fouls than Türkiye?,team_more_fouls,53,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
72,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q2,Will Türkiye have more shots on target than Australia in the second half?,team_more_sot_2h,62,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
73,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q3,Will Australia be caught offside 2 or more times?,team_offsides_over,48,No,0.0,0,,,,,,The Crowd played it safe.,,,
74,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q4,Will Türkiye finish with more corner kicks than Australia?,team_more_corners_full,64,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
75,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q5,Will Orkun Kökçü have at least 1 shot on target in the second half?,player_sot_2h_over,41,No,0.0,0,,,,,,The Crowd played it safe.,,,
76,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q6,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,38,No,0.0,0,,,,,,The Crowd played it safe.,,,
77,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q7,Will Australia win the match?,team_win,26,Yes,100.0,0,,,,,,The Crowd missed the mark.,,,
78,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q8,Will Türkiye score in the second half?,team_score_2h,60,No,0.0,0,,,,,,The Crowd played it safe.,,,
79,raw_paste_collected_in_chat,resolved,2026-06-14,Australia vs Turkey,Australia vs Turkey,Q9,Will there be 4 or more total cards shown?,total_cards_over,51,No,0.0,0,,,,,,The Crowd played it safe.,,,
80,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q1,Will Curaçao be caught offside 2 or more times?,team_offsides_over,39,No,0.0,0,,,,,,The Crowd played it safe.,,,
81,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q2,"In the second half, will Germany have more shots on target than Curaçao?",team_more_sot_2h,84,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
82,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q3,Will Curaçao commit more fouls than Germany?,team_more_fouls,66,No,0.0,0,,,,,,The Crowd missed the mark.,,,
83,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q4,Will Curaçao receive more cards than Germany?,team_more_cards,61,No,0.0,0,,,,,,The Crowd played it safe.,,,
84,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q5,Will Germany be caught offside 2 or more times?,team_offsides_over,54,No,0.0,0,,,,,,The Crowd played it safe.,,,
85,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q6,Will Germany win the match?,team_win,92,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
86,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q7,Will the match have 2 or fewer total goals?,match_total_under,25,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
87,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q8,Will the second half have 2 or more total goals?,second_half_goals_over,60,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
88,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q9,Will Curaçao have 3 or more shots on target?,team_sot_over,32,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
89,raw_paste_collected_in_chat,resolved,2026-06-14,Germany vs Curacao,Germany vs Curaçao,Q10,Will Leandro Bacuna have at least 1 shot on target?,player_sot_over,32,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
90,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q1,Will Japan commit more fouls than Netherlands?,team_more_fouls,49,No,0.0,0,,,,,,The Crowd played it safe.,,,
91,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q2,Will Netherlands be caught offside 2 or more times?,team_offsides_over,54,No,0.0,0,,,,,,The Crowd played it safe.,,,
92,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q3,Will both teams have at least 1 shot on target in the second half?,both_teams_sot_2h_1plus,76,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
93,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q4,Will both teams score AND the match have 3 or more total goals?,compound_btts_over_2_5,44,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
94,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q5,Will Japan receive more cards than Netherlands?,team_more_cards,43,No,0.0,0,,,,,,The Crowd played it safe.,,,
95,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q6,Will Netherlands win the match?,team_win,53,No,0.0,0,,,,,,The Crowd played it safe.,,,
96,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q7,Will Japan score in the second half?,team_score_2h,50,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
97,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q8,Will there be 8 or more total shots on target?,match_total_sot_over,56,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
98,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q9,Will Cody Gakpo have at least 1 shot on target?,player_sot_over,61,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
99,raw_paste_collected_in_chat,resolved,2026-06-14,Netherlands vs Japan,Netherlands vs Japan,Q10,Will Takefusa Kubo score or assist a goal (excluding own goals)?,player_goal_or_assist,36,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
100,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q1,Will Ecuador commit more fouls than Ivory Coast?,team_more_fouls,52,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
101,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q2,"At halftime, will Ecuador have more corner kicks than Ivory Coast?",team_more_corners_h1,48,No,0.0,0,,,,,,The Crowd played it safe.,,,
102,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q3,Will Ivory Coast be caught offside 2 or more times?,team_offsides_over,49,No,0.0,0,,,,,,The Crowd played it safe.,,,
103,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q4,Will Ecuador have more shots on target than Ivory Coast in the second half?,team_more_sot_2h,50,No,0.0,0,,,,,,The Crowd played it safe.,,,
104,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q5,Will the second half have more total goals than the first half?,second_half_more_goals,51,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
105,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q6,Will Ivory Coast win the match?,team_win,34,Yes,100.0,0,,,,,,The Crowd missed the mark.,,,
106,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q7,Will Ivory Coast score in the second half?,team_score_2h,45,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
107,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q8,Will there be 4 or more total cards shown?,total_cards_over,52,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
108,raw_paste_collected_in_chat,resolved,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast vs Ecuador,Q9,Will Ibrahim Sangaré have at least 1 shot on target?,player_sot_over,33,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
109,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q1,"At halftime, will Tunisia have more corner kicks than Sweden?",team_more_corners_h1,34,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
110,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q2,Will Sweden commit more fouls than Tunisia?,team_more_fouls,40,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
111,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q3,Will the second half have more total goals than the first half?,second_half_more_goals,51,No,0.0,0,,,,,,The Crowd played it safe.,,,
112,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q4,Will Sweden score the first goal of the game and Tunisia score in the second half?,compound_first_goal_score_2h,31,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
113,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q5,Will Tunisia have more shots on target than Sweden in the second half?,team_more_sot_2h,33,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
114,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q6,Will a penalty kick be awarded OR a red card be shown in the match?,penalty_or_red_card,37,No,0.0,0,,,,,,The Crowd played it safe.,,,
115,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q7,Will Sweden win the match?,team_win,59,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
116,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q8,Will the match have 3 or more total goals?,match_total_over,44,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
117,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q9,Will Viktor Gyökeres score or assist a goal (excluding own goals)?,player_goal_or_assist,50,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
118,raw_paste_collected_in_chat,resolved,2026-06-14,Sweden vs Tunisia,Sweden vs Tunisia,Q10,Will Ellyes Skhiri have at least 1 shot on target?,player_sot_over,31,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
119,raw_paste_collected_in_chat,resolved,2026-06-15,Spain vs Cabo Verde,Spain vs Cape Verde,Q1,Will Cape Verde be caught offside 2 or more times?,team_offsides_over,39,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
120,raw_paste_collected_in_chat,resolved,2026-06-15,Spain vs Cabo Verde,Spain vs Cape Verde,Q2,"In the second half, will Spain have more corner kicks than Cape Verde?",team_more_corners_2h,79,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
121,raw_paste_collected_in_chat,resolved,2026-06-15,Spain vs Cabo Verde,Spain vs Cape Verde,Q3,Will Cape Verde commit more fouls than Spain?,team_more_fouls,63,No,0.0,0,,,,,,The Crowd played it safe.,,,
122,raw_paste_collected_in_chat,resolved,2026-06-15,Spain vs Cabo Verde,Spain vs Cape Verde,Q4,Will Spain have more shots on target than Cape Verde in the second half?,team_more_sot_2h,84,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
